"","interest_rate","income_ver","debt_to_income","credit_util","bankruptcy","term","issue","credit_checks"
"2654",13.58,"Not Verified",18.43,"0.957","yes",60,3,4
"2655",13.58,"Not Verified",21.65,"0.323","no",36,3,0
"2656",9.44,"Not Verified",12.78,"0.488","no",36,2,0
"2657",7.96,"Source Verified",4.55,"0.162","no",36,3,3
"2658",26.77,"Source Verified",31.9,"0.096","yes",60,3,0
"2659",9.92,"Not Verified",19.71,"0.374","no",36,3,0
"2660",14.07,"Not Verified",19.58,"0.180","no",60,3,0
"2661",6.07,"Source Verified",20.99,"0.277","no",36,3,4
"2662",16.01,"Not Verified",14.37,"0.694","no",36,3,2
"2663",13.58,"Verified",22.48,"0.524","yes",60,3,0
"2664",10.9,"Not Verified",27.93,"0.305","no",60,3,1
"2665",13.58,"Not Verified",16.97,"0.377","no",36,2,1
"2666",20,"Verified",6.7,"0.029","no",60,1,7
"2667",10.41,"Source Verified",9.55,"0.642","no",36,3,1
"2668",6.72,"Source Verified",30.49,"0.293","no",36,1,1
"2669",18.06,"Verified",34.53,"0.636","no",36,1,4
"2670",9.93,"Not Verified",16.28,"0.096","yes",36,1,2
"2671",9.93,"Not Verified",7.4,"1.177","no",36,2,1
"2672",12.62,"Source Verified",14.64,"0.742","no",36,1,2
"2673",13.58,"Source Verified",16.11,"0.387","no",36,3,2
"2674",15.05,"Source Verified",18.8,"0.812","no",36,2,0
"2675",9.93,"Source Verified",7.11,"0.450","no",36,1,1
"2676",12.61,"Verified",13.25,"0.178","yes",36,3,1
"2677",10.42,"Source Verified",25.69,"0.152","no",60,2,2
"2678",17.09,"Source Verified",17.85,"0.679","no",36,2,4
"2679",7.97,"Not Verified",26.89,"0.709","no",36,2,0
"2680",18.06,"Source Verified",17.01,"0.437","no",36,2,0
"2681",12.61,"Source Verified",12.57,"0.061","no",60,3,0
"2682",6.07,"Verified",26.54,"0.262","no",36,2,1
"2683",9.93,"Source Verified",26.31,"0.308","no",60,2,5
"2684",5.31,"Not Verified",11.71,"0.465","no",36,3,0
"2685",15.04,"Not Verified",32.54,"0.468","no",36,3,0
"2686",13.59,"Source Verified",18.89,"0.190","no",36,1,4
"2687",10.91,"Verified",180.71,"0.370","yes",36,1,1
"2688",7.96,"Source Verified",15.5,"0.450","no",36,3,2
"2689",21.45,"Source Verified",26,"0.607","no",36,1,7
"2690",16.01,"Verified",1.29,"0.016","no",36,3,5
"2691",16.02,"Not Verified",28.21,"0.665","yes",36,1,0
"2692",12.62,"Source Verified",18.7,"1.059","no",36,2,7
"2693",15.04,"Source Verified",29.22,"0.839","no",36,3,2
"2694",13.58,"Source Verified",27.12,"0.584","no",60,3,0
"2695",6.71,"Not Verified",17.6,"0.202","no",36,3,0
"2696",9.93,"Not Verified",17.75,"0.621","no",60,1,0
"2697",15.05,"Source Verified",11.82,"0.065","no",60,2,1
"2698",9.43,"Not Verified",4.21,"0.068","no",36,3,1
"2699",11.99,"Not Verified",10.69,"0.768","no",60,3,0
"2700",9.93,"Source Verified",12.84,"0.673","yes",60,1,1
"2701",11.98,"Source Verified",16.25,"0.642","no",60,3,3
"2702",17.09,"Source Verified",17.3,"0.676","no",60,2,0
"2703",9.44,"Source Verified",36.86,"0.268","no",36,1,4
"2704",9.93,"Source Verified",34.19,"0.560","no",36,2,1
"2705",20,"Verified",22.8,"0.873","no",60,2,1
"2706",5.31,"Not Verified",8.8,"0.167","no",36,2,4
"2707",12.62,"Source Verified",26.4,"0.701","yes",36,1,0
"2708",23.88,"Verified",32.58,"0.371","no",60,1,0
"2709",7.34,"Source Verified",30.69,"0.668","no",36,3,1
"2710",7.34,"Not Verified",9.15,"0.304","no",36,3,1
"2711",7.96,"Not Verified",12.99,"0.352","no",36,3,8
"2712",9.43,"Source Verified",2.94,"0.000","no",60,3,0
"2713",15.04,"Verified",23.99,"0.159","no",36,3,1
"2714",11.99,"Not Verified",23.41,"0.360","no",36,2,0
"2715",13.58,"Not Verified",5.01,"0.844","no",36,3,5
"2716",25.82,"Verified",18.12,"0.179","yes",60,2,4
"2717",5.32,"Source Verified",5.26,"0.270","no",36,2,0
"2718",10.91,"Not Verified",18.03,"0.448","no",36,1,2
"2719",6.71,"Source Verified",1.98,"0.665","no",36,3,1
"2720",12.61,"Source Verified",26.83,"0.305","no",36,3,2
"2721",16.01,"Source Verified",31.71,"0.487","no",36,3,1
"2722",21.45,"Source Verified",21.72,"0.449","no",60,1,2
"2723",14.07,"Source Verified",14.63,"0.954","no",36,3,0
"2724",7.34,"Not Verified",17.25,"0.064","no",60,2,0
"2725",18.45,"Source Verified",22.75,"0.701","no",36,3,8
"2726",22.91,"Verified",8.2,"0.009","no",36,1,18
"2727",19.42,"Verified",23.81,"0.206","no",60,3,4
"2728",7.35,"Verified",8.92,"0.144","no",60,1,6
"2729",9.44,"Verified",8.45,"0.167","no",60,1,2
"2730",7.97,"Not Verified",21.47,"0.458","yes",36,1,1
"2731",17.47,"Not Verified",17.76,"0.102","no",36,3,4
"2732",16.02,"Not Verified",17.72,"0.682","no",36,2,1
"2733",20.39,"Not Verified",16.33,"0.343","no",36,3,1
"2734",7.96,"Source Verified",4.51,"0.976","no",36,3,3
"2735",18.45,"Not Verified",16.6,"0.192","yes",60,3,1
"2736",7.34,"Source Verified",33.71,"0.095","no",60,3,2
"2737",10.9,"Not Verified",24.93,"0.346","no",60,2,2
"2738",12.62,"Not Verified",15.35,"0.158","no",36,2,4
"2739",24.84,"Source Verified",23.48,"0.254","no",60,3,2
"2740",21.85,"Source Verified",13.95,"0.816","no",60,3,7
"2741",6.72,"Not Verified",4.98,"0.042","no",36,2,1
"2742",10.42,"Source Verified",16.15,"0.218","no",36,1,8
"2743",6.71,"Verified",39.83,"0.151","no",36,3,6
"2744",11.98,"Verified",2.86,"0.202","no",60,3,1
"2745",16.02,"Source Verified",15.5,"0.754","no",36,1,1
"2746",12.61,"Source Verified",25.33,"0.189","no",36,3,1
"2747",11.99,"Source Verified",7.74,"0.680","yes",60,1,1
"2748",19.42,"Verified",32.98,"0.735","no",36,3,2
"2749",15.05,"Not Verified",9.79,"0.628","no",36,1,2
"2750",26.3,"Source Verified",12.49,"0.583","no",60,2,2
"2751",17.09,"Source Verified",14.07,"0.645","no",60,2,0
"2752",16.02,"Source Verified",22.6,"0.216","no",60,1,1
"2753",7.35,"Source Verified",23.82,"0.731","no",36,1,1
"2754",6.07,"Source Verified",15.2,"0.178","no",36,3,3
"2755",6.72,"Verified",9.67,"0.144","yes",36,2,0
"2756",18.45,"Source Verified",22.77,"0.240","no",36,3,0
"2757",20,"Verified",34.02,"0.682","no",36,1,4
"2758",12.62,"Verified",28.15,"0.498","no",60,2,1
"2759",9.93,"Source Verified",25.64,"0.118","no",60,2,1
"2760",9.43,"Verified",96.77,"0.622","yes",36,3,1
"2761",9.43,"Not Verified",12.41,"0.497","no",36,3,2
"2762",7.34,"Verified",5.81,"0.310","no",36,2,3
"2763",12.61,"Verified",13.72,"0.443","yes",36,3,1
"2764",7.97,"Not Verified",18.32,"0.101","no",36,2,1
"2765",17.47,"Source Verified",7.88,"0.645","no",36,3,6
"2766",14.08,"Not Verified",19.45,"0.102","no",36,1,0
"2767",19.42,"Verified",11.58,"0.006","yes",36,3,1
"2768",6.72,"Not Verified",15.94,"0.044","no",36,1,5
"2769",11.99,"Not Verified",52.22,"0.222","no",36,1,3
"2770",19.42,"Source Verified",12.91,"0.119","no",60,3,5
"2771",28.72,"Source Verified",29.16,"0.323","no",60,2,1
"2772",19.42,"Not Verified",24.54,"0.630","no",60,3,3
"2773",12.61,"Source Verified",22.64,"0.932","no",60,3,1
"2774",9.44,"Source Verified",9.02,"0.214","no",60,1,4
"2775",13.58,"Not Verified",23.4,"0.191","no",60,3,0
"2776",21.85,"Verified",21.15,"0.449","no",60,3,4
"2777",12.62,"Verified",11.27,"0.637","yes",36,1,1
"2778",14.07,"Not Verified",6.02,"0.569","no",36,3,0
"2779",6.72,"Not Verified",18.87,"0.069","yes",36,2,3
"2780",14.08,"Source Verified",2.22,"0.678","yes",36,1,0
"2781",9.43,"Source Verified",3.99,"0.018","no",60,3,2
"2782",16.01,"Not Verified",32,"0.367","no",36,3,2
"2783",10.41,"Not Verified",9.13,"0.565","yes",36,3,2
"2784",13.59,"Verified",50.91,"0.270","no",60,1,0
"2785",11.99,"Verified",14.11,"0.053","no",36,2,0
"2786",10.42,"Not Verified",28.91,"0.230","no",36,1,3
"2787",18.06,"Source Verified",38.78,"0.519","no",36,1,0
"2788",6.71,"Verified",10.57,"0.087","no",36,3,7
"2789",13.59,"Source Verified",19.46,"0.589","no",36,2,0
"2790",21.45,"Source Verified",16.22,"0.220","no",60,3,0
"2791",15.05,"Verified",31.77,"0.641","no",36,2,0
"2792",7.35,"Not Verified",8.24,"0.342","no",60,1,0
"2793",17.47,"Verified",22.75,"0.747","no",60,3,1
"2794",6.07,"Not Verified",22.8,"0.389","no",36,3,1
"2795",21.45,"Not Verified",31.88,"0.428","no",36,1,1
"2796",26.3,"Verified",24.56,"0.678","no",60,2,0
"2797",7.97,"Not Verified",4.68,"0.013","no",36,2,2
"2798",16.02,"Source Verified",26.69,"0.402","no",36,1,5
"2799",14.08,"Verified",28.04,"0.187","no",36,1,2
"2800",11.99,"Source Verified",1.2,"0.201","no",60,2,2
"2801",17.09,"Source Verified",16.56,"0.895","no",60,1,1
"2802",17.09,"Not Verified",4.03,"0.198","no",60,2,0
"2803",26.3,"Source Verified",48.47,"0.704","no",36,2,1
"2804",6.07,"Not Verified",17.27,"0.103","no",36,3,0
"2805",7.96,"Not Verified",17.52,"0.635","no",60,2,2
"2806",17.09,"Not Verified",30.62,"0.632","no",36,1,1
"2807",6.07,"Source Verified",6.86,"0.117","no",36,3,4
"2808",13.58,"Verified",15.1,"0.481","yes",60,3,3
"2809",5.31,"Verified",12.56,"0.156","no",36,3,4
"2810",10.91,"Source Verified",12.38,"0.590","no",36,1,2
"2811",6.07,"Not Verified",23.17,"0.149","no",36,3,3
"2812",11.98,"Source Verified",7.15,"0.512","no",36,3,0
"2813",9.44,"Verified",10.57,"0.109","no",60,2,3
"2814",15.05,"Not Verified",22.01,"0.808","no",60,1,1
"2815",7.34,"Not Verified",33.16,"0.385","no",36,3,2
"2816",10.41,"Not Verified",21.92,"0.585","no",36,3,1
"2817",13.58,"Not Verified",22.25,"0.085","no",36,3,1
"2818",9.43,"Source Verified",10.84,"0.683","yes",36,2,0
"2819",11.98,"Not Verified",22.61,"0.137","no",60,3,0
"2820",15.04,"Source Verified",22.17,"0.619","no",36,3,1
"2821",12.62,"Source Verified",17.48,"0.155","no",36,1,5
"2822",7.96,"Verified",15.51,"0.163","no",36,3,3
"2823",15.05,"Not Verified",14.29,"0.792","no",36,2,5
"2824",7.97,"Not Verified",10.78,"0.499","no",36,2,2
"2825",9.43,"Source Verified",8.98,"0.075","no",36,3,2
"2826",11.99,"Not Verified",6.13,"0.349","yes",36,2,3
"2827",6.08,"Source Verified",8.16,"0.057","no",36,1,2
"2828",11.99,"Source Verified",13.58,"0.386","no",36,1,2
"2829",18.45,"Verified",27.35,"0.757","yes",60,3,3
"2830",11.98,"Not Verified",10.87,"0.487","no",36,3,8
"2831",21.85,"Source Verified",19.56,"0.863","no",36,2,2
"2832",10.42,"Source Verified",26.11,"0.547","no",36,2,18
"2833",17.09,"Verified",18.54,"0.174","no",60,2,7
"2834",9.92,"Not Verified",16.47,"0.404","no",36,3,1
"2835",10.42,"Not Verified",7.5,"0.555","no",36,1,0
"2836",9.93,"Source Verified",18.42,"0.352","yes",36,2,0
"2837",12.62,"Verified",30.44,"0.993","no",36,1,1
"2838",13.59,"Source Verified",5.61,"0.572","no",36,1,0
"2839",11.99,"Not Verified",21.19,"0.418","no",36,1,2
"2840",11.99,"Not Verified",25.07,"0.132","no",36,1,0
"2841",16.02,"Verified",26.8,"0.543","no",36,1,8
"2842",6.72,"Not Verified",24.52,"0.339","no",36,2,1
"2843",18.06,"Not Verified",26.69,"0.540","no",36,2,1
"2844",9.43,"Not Verified",13.19,"0.638","no",36,2,0
"2845",25.82,"Verified",21.18,"0.669","no",60,1,0
"2846",6.71,"Not Verified",24.96,"0.098","yes",36,3,6
"2847",5.32,"Not Verified",13.34,"0.115","no",36,1,2
"2848",7.97,"Verified",64.4,"0.259","no",36,1,0
"2849",9.44,"Not Verified",5.31,"0.045","no",36,1,0
"2850",12.62,"Source Verified",15.95,"1.110","no",36,2,4
"2851",7.34,"Source Verified",24.44,"0.288","no",36,2,0
"2852",10.42,"Verified",4.42,"0.366","no",36,1,5
"2853",14.07,"Source Verified",27.7,"0.166","no",36,3,1
"2854",13.58,"Source Verified",21.87,"0.271","no",36,3,3
"2855",9.44,"Not Verified",10.96,"0.529","yes",36,2,2
"2856",14.08,"Verified",20.38,"0.575","no",36,2,6
"2857",16.01,"Source Verified",20.59,"0.554","no",60,3,0
"2858",22.9,"Not Verified",2.4,"0.202","no",36,3,2
"2859",17.09,"Not Verified",16.17,"0.600","no",36,2,0
"2860",16.01,"Source Verified",35.03,"0.737","yes",60,2,6
"2861",10.91,"Not Verified",9.58,"0.910","no",36,3,1
"2862",16.01,"Source Verified",20.43,"0.856","no",36,2,14
"2863",6.72,"Not Verified",13.61,"0.127","no",36,1,0
"2864",15.04,"Source Verified",13.68,"0.717","yes",60,3,4
"2865",14.08,"Source Verified",19.21,"0.430","no",36,1,1
"2866",17.09,"Verified",33.6,"0.176","yes",36,2,3
"2867",9.44,"Source Verified",2.75,"0.431","no",36,1,2
"2868",14.07,"Source Verified",6.84,"0.069","no",60,3,0
"2869",16.02,"Source Verified",15.01,"0.664","no",36,1,3
"2870",5.31,"Source Verified",18.62,"0.100","no",36,3,1
"2871",6.72,"Not Verified",18.71,"0.262","no",36,2,3
"2872",5.32,"Not Verified",11.06,"0.084","no",36,1,1
"2873",9.93,"Not Verified",14.31,"0.507","no",60,1,0
"2874",9.93,"Not Verified",17.05,"0.227","no",36,1,1
"2875",13.59,"Verified",13.89,"0.191","no",60,2,5
"2876",10.9,"Source Verified",19.5,"0.104","no",36,2,3
"2877",13.59,"Verified",15.4,"0.311","yes",60,1,6
"2878",6.72,"Not Verified",11.93,"0.878","no",36,2,0
"2879",10.42,"Not Verified",17.7,"0.093","no",36,1,0
"2880",14.07,"Not Verified",16.5,"0.668","no",36,3,0
"2881",16.02,"Source Verified",31.27,"0.759","no",36,2,14
"2882",15.05,"Source Verified",29.64,"0.540","no",36,1,3
"2883",18.45,"Source Verified",17.67,"0.640","no",36,3,3
"2884",13.59,"Verified",27.21,"0.096","no",36,2,4
"2885",16.01,"Source Verified",20.47,"0.200","no",60,3,0
"2886",15.04,"Not Verified",13.29,"0.559","yes",60,3,0
"2887",19.03,"Not Verified",28.97,"0.668","no",60,1,6
"2888",7.35,"Source Verified",3.46,"0.003","no",60,2,0
"2889",9.43,"Not Verified",5.47,"0.064","yes",36,3,0
"2890",7.97,"Not Verified",26.71,"0.524","no",36,1,0
"2891",20.39,"Verified",17.41,"0.369","no",60,3,3
"2892",10.42,"Source Verified",1.12,"0.158","no",60,1,1
"2893",7.97,"Source Verified",10.37,"0.307","no",36,1,11
"2894",7.34,"Verified",15.62,"0.124","no",60,2,0
"2895",11.98,"Source Verified",32.44,"0.680","no",60,3,0
"2896",12.62,"Not Verified",21.12,"0.420","no",36,2,0
"2897",15.05,"Source Verified",33.83,"0.799","yes",36,2,6
"2898",10.91,"Source Verified",6.41,"0.999","no",36,1,1
"2899",11.99,"Not Verified",22.94,"0.789","yes",60,2,8
"2900",9.44,"Not Verified",35.68,"0.364","no",36,1,2
"2901",9.92,"Source Verified",12.62,"0.466","no",36,3,2
"2902",19.42,"Verified",22.67,"0.443","yes",36,3,9
"2903",12.62,"Source Verified",13.49,"0.090","no",60,2,0
"2904",14.07,"Not Verified",24.55,"0.696","no",36,2,4
"2905",14.08,"Not Verified",14.5,"0.638","yes",36,2,3
"2906",12.61,"Source Verified",24.13,"0.551","no",36,3,0
"2907",9.93,"Not Verified",15.99,"1.096","no",36,2,1
"2908",26.3,"Source Verified",30.51,"0.351","no",60,2,0
"2909",13.59,"Source Verified",4.27,"0.017","yes",60,2,1
"2910",9.93,"Source Verified",10.57,"0.066","no",36,2,0
"2911",5.31,"Not Verified",16.27,"0.070","no",36,3,5
"2912",6.71,"Not Verified",3.63,"0.431","no",36,3,1
"2913",14.08,"Source Verified",34.4,"0.273","no",36,2,2
"2914",9.92,"Source Verified",7.6,"0.176","yes",36,3,3
"2915",9.44,"Source Verified",46.5,"0.203","no",60,1,2
"2916",9.93,"Not Verified",20.82,"0.117","no",36,1,2
"2917",10.42,"Not Verified",6.8,"0.796","no",36,1,10
"2918",14.08,"Not Verified",37.01,"0.219","no",36,2,4
"2919",7.35,"Verified",47.91,"0.177","no",36,1,3
"2920",17.09,"Source Verified",3.43,"0.094","no",60,2,1
"2921",19.03,"Source Verified",34.53,"0.086","no",36,1,5
"2922",19.42,"Not Verified",25.93,"0.715","no",36,3,0
"2923",9.93,"Source Verified",15.87,"0.191","no",60,1,3
"2924",10.42,"Not Verified",24.07,"1.015","no",36,1,0
"2925",13.59,"Source Verified",19.53,"0.569","no",60,1,0
"2926",7.35,"Source Verified",30.61,"0.417","no",36,1,0
"2927",16.01,"Not Verified",18.93,"0.820","no",36,3,1
"2928",11.99,"Source Verified",22.6,"0.963","no",36,2,1
"2929",7.34,"Not Verified",35.58,"0.288","no",36,3,0
"2930",15.05,"Source Verified",0.6,"0.097","no",60,2,0
"2931",14.08,"Not Verified",19.8,"0.581","no",36,1,0
"2932",7.35,"Source Verified",1.99,"0.036","no",36,1,7
"2933",11.98,"Verified",23.29,"0.475","yes",36,3,1
"2934",11.98,"Source Verified",29.02,"0.289","no",60,2,1
"2935",7.35,"Source Verified",20.34,"0.134","no",60,1,5
"2936",12.62,"Not Verified",45.75,"0.802","no",36,2,0
"2937",14.07,"Source Verified",20.27,"0.548","no",60,2,0
"2938",17.47,"Source Verified",9.76,"1.030","no",36,3,0
"2939",6.07,"Not Verified",16.51,"0.153","no",36,3,1
"2940",19.03,"Verified",81.61,"0.717","no",60,1,1
"2941",9.43,"Verified",49.32,"0.483","no",60,3,1
"2942",13.59,"Source Verified",8.31,"0.068","yes",36,1,10
"2943",7.96,"Source Verified",13.33,"0.425","no",36,3,1
"2944",12.62,"Verified",48.96,"0.277","no",36,2,1
"2945",7.96,"Source Verified",15.57,"0.072","no",36,3,8
"2946",15.04,"Verified",21.28,"0.289","no",36,3,3
"2947",11.98,"Not Verified",18.75,"0.054","no",60,3,0
"2948",23.88,"Verified",29.73,"0.157","no",60,1,1
"2949",18.06,"Source Verified",24.96,"0.861","no",36,1,0
"2950",21.45,"Verified",30.09,"0.472","no",36,1,2
"2951",10.9,"Verified",21.09,"0.077","no",60,3,2
"2952",14.08,"Source Verified",34.59,"0.718","no",60,2,0
"2953",16.02,"Not Verified",22.15,"0.458","no",36,1,1
"2954",7.35,"Not Verified",26.03,"0.112","no",36,2,2
"2955",6.08,"Not Verified",4.43,"0.470","no",36,2,1
"2956",20,"Not Verified",34.82,"0.815","no",36,1,0
"2957",9.43,"Source Verified",20.89,"0.788","no",36,3,0
"2958",17.47,"Verified",36.28,"0.253","yes",36,3,8
"2959",9.43,"Not Verified",13.98,"0.279","no",60,2,3
"2960",26.77,"Not Verified",45.37,"0.620","no",60,3,1
"2961",7.97,"Not Verified",8.32,"0.266","no",36,1,3
"2962",15.05,"Not Verified",14.09,"0.166","no",36,1,0
"2963",15.04,"Verified",4.53,"0.981","no",36,3,0
"2964",11.99,"Not Verified",34.21,"0.378","yes",36,2,1
"2965",9.93,"Verified",24.2,"0.146","no",36,2,1
"2966",6.72,"Not Verified",3.23,"0.049","no",36,1,0
"2967",9.44,"Not Verified",10.34,"0.086","no",60,2,0
"2968",6.08,"Source Verified",5.84,"0.007","no",36,1,4
"2969",19.03,"Not Verified",17.96,"0.315","yes",36,1,4
"2970",14.07,"Source Verified",4.55,"0.992","no",36,3,0
"2971",10.91,"Verified",26.5,"0.154","no",36,1,3
"2972",15.04,"Verified",27.99,"0.223","no",60,3,1
"2973",7.97,"Not Verified",21.09,"0.506","no",36,1,0
"2974",14.08,"Not Verified",19.71,"0.744","no",36,1,2
"2975",10.91,"Verified",28.46,"0.197","no",60,2,2
"2976",10.91,"Source Verified",18.16,"0.725","no",36,1,0
"2977",9.43,"Not Verified",8.76,"0.075","yes",36,3,3
"2978",9.92,"Not Verified",13.14,"0.074","no",36,3,4
"2979",10.91,"Verified",14.65,"0.111","yes",36,2,10
"2980",21.45,"Verified",13.85,"0.735","no",36,2,0
"2981",13.59,"Not Verified",15.45,"0.723","no",60,2,2
"2982",6.71,"Source Verified",13.47,"0.715","yes",36,3,0
"2983",6.71,"Source Verified",15.27,"0.662","no",36,3,0
"2984",9.93,"Source Verified",14,"0.431","no",36,1,3
"2985",9.92,"Verified",39.45,"0.159","no",60,3,0
"2986",11.98,"Source Verified",16.97,"0.325","no",60,3,2
"2987",21.45,"Not Verified",1.97,"0.288","no",60,1,0
"2988",9.93,"Not Verified",22.2,"0.123","no",60,2,1
"2989",10.42,"Source Verified",36.93,"0.794","yes",36,1,6
"2990",29.69,"Verified",20.84,"0.521","no",60,1,3
"2991",6.08,"Source Verified",26.58,"0.485","no",36,2,1
"2992",18.06,"Verified",35.99,"0.680","yes",36,2,0
"2993",9.92,"Not Verified",15.44,"0.106","no",36,3,2
"2994",10.91,"Not Verified",9.89,"0.381","no",36,2,0
"2995",10.91,"Not Verified",7.08,"0.746","no",36,1,0
"2996",15.04,"Source Verified",20.68,"0.707","no",36,3,0
"2997",7.96,"Not Verified",9.75,"0.837","no",36,3,4
"2998",5.31,"Not Verified",43.96,"0.040","no",36,3,2
"2999",19.42,"Source Verified",11.31,"0.050","yes",60,3,4
"3000",10.42,"Not Verified",27.32,"0.453","no",60,2,2
"3001",13.59,"Not Verified",16.51,"0.290","no",36,1,2
"3002",15.05,"Not Verified",29.65,"0.380","no",36,2,0
"3003",13.58,"Verified",43.6,"0.515","no",36,3,1
"3004",9.43,"Source Verified",1.09,"0.024","no",60,2,2
"3005",5.32,"Source Verified",14.08,"0.078","no",36,1,1
"3006",9.93,"Source Verified",20.85,"0.089","no",36,1,1
"3007",11.98,"Verified",37.35,"0.432","no",60,3,0
"3008",17.47,"Verified",24.31,"0.534","no",60,3,2
"3009",12.62,"Verified",27.19,"0.603","no",36,1,2
"3010",10.42,"Verified",18.51,"0.189","no",60,1,3
"3011",9.43,"Source Verified",38.46,"0.187","no",36,2,1
"3012",10.9,"Not Verified",23.04,"0.337","yes",36,3,0
"3013",16.02,"Not Verified",26.19,"0.222","no",60,1,1
"3014",7.97,"Source Verified",15.18,"0.434","no",36,1,0
"3015",7.35,"Not Verified",2.66,"0.020","no",60,1,2
"3016",15.05,"Source Verified",22.38,"0.632","no",60,1,2
"3017",11.99,"Source Verified",29.13,"0.217","no",36,2,1
"3018",10.41,"Source Verified",28.63,"0.297","no",36,3,9
"3019",9.93,"Not Verified",17.97,"0.712","no",36,1,1
"3020",7.35,"Not Verified",15.7,"0.469","no",36,1,0
"3021",7.34,"Source Verified",28.44,"0.807","no",60,3,2
"3022",7.96,"Source Verified",14.39,"0.139","no",60,3,8
"3023",13.58,"Not Verified",10,"0.605","no",36,2,3
"3024",6.07,"Source Verified",11.4,"0.087","no",36,3,0
"3025",14.07,"Verified",12.09,"0.833","no",36,3,2
"3026",6.07,"Not Verified",7.93,"0.388","no",36,3,0
"3027",9.93,"Not Verified",26.84,"0.350","no",36,1,1
"3028",12.61,"Not Verified",19.36,"0.097","no",36,3,2
"3029",5.32,"Not Verified",13.14,"0.162","no",36,2,3
"3030",21.85,"Verified",21.04,"0.566","no",36,3,2
"3031",16.01,"Verified",32.75,"0.821","yes",36,2,3
"3032",15.04,"Not Verified",20.97,"0.138","no",36,3,1
"3033",5.31,"Not Verified",3.99,"0.043","no",36,2,0
"3034",7.97,"Not Verified",23.84,"0.615","no",36,2,5
"3035",12.62,"Not Verified",26.72,"0.642","no",60,1,2
"3036",15.04,"Verified",32.79,"0.588","no",60,3,0
"3037",21.85,"Verified",26.31,"0.739","no",36,2,2
"3038",9.43,"Not Verified",27.48,"0.139","no",60,3,0
"3039",9.44,"Not Verified",32.86,"0.322","yes",36,1,2
"3040",6.07,"Not Verified",16.08,"0.118","yes",36,3,2
"3041",7.96,"Source Verified",14.08,"0.508","no",36,3,0
"3042",20,"Not Verified",20.39,"0.563","no",36,1,2
"3043",10.42,"Not Verified",15.2,"0.955","no",36,2,0
"3044",19.42,"Verified",29.76,"0.471","yes",36,3,1
"3045",7.35,"Source Verified",9.12,"0.502","no",36,1,2
"3046",11.98,"Verified",7.7,"0.197","no",36,3,1
"3047",13.58,"Verified",9.73,"0.634","no",60,3,6
"3048",20.39,"Not Verified",27.16,"0.838","no",36,3,0
"3049",9.43,"Source Verified",9.42,"0.062","yes",36,3,6
"3050",7.35,"Not Verified",20.45,"0.598","no",60,1,4
"3051",15.04,"Verified",15.92,"0.804","no",36,3,4
"3052",12.62,"Verified",14.2,"0.045","no",36,2,2
"3053",5.32,"Source Verified",1.66,"0.203","no",36,2,2
"3054",9.92,"Not Verified",12.35,"0.566","no",36,3,1
"3055",6.07,"Source Verified",18.33,"0.384","no",36,2,2
"3056",20,"Source Verified",10.15,"0.146","no",60,2,8
"3057",10.41,"Verified",32.53,"0.631","no",36,3,0
"3058",6.07,"Source Verified",11.88,"0.401","no",36,3,1
"3059",11.99,"Not Verified",28.03,"0.348","no",36,1,3
"3060",7.96,"Not Verified",7.93,"0.678","no",36,3,2
"3061",10.91,"Source Verified",36.31,"0.368","no",36,2,10
"3062",15.05,"Source Verified",13.07,"0.728","no",60,1,1
"3063",10.42,"Not Verified",20.19,"0.756","yes",36,1,0
"3064",7.97,"Source Verified",14.38,"0.411","no",36,2,2
"3065",10.41,"Not Verified",4.47,"0.518","no",36,3,2
"3066",9.93,"Not Verified",12.3,"0.326","no",36,3,1
"3067",9.93,"Not Verified",25.56,"0.201","no",36,1,0
"3068",7.35,"Source Verified",19.03,"0.515","no",36,2,0
"3069",18.06,"Source Verified",31.72,"0.661","no",36,1,3
"3070",6.08,"Source Verified",29.08,"0.290","no",36,1,0
"3071",6.07,"Source Verified",18.3,"0.180","no",36,3,0
"3072",6.71,"Source Verified",7.79,"0.025","no",36,3,3
"3073",9.92,"Not Verified",18.11,"0.682","no",36,2,1
"3074",14.08,"Source Verified",23.47,"0.452","no",36,1,3
"3075",10.42,"Not Verified",21.64,"0.380","no",36,1,3
"3076",18.06,"Not Verified",25.11,"0.505","no",36,1,0
"3077",26.3,"Source Verified",35.32,"0.160","no",36,2,1
"3078",15.05,"Verified",5.85,"0.277","no",36,1,1
"3079",15.05,"Source Verified",40.8,"0.328","no",60,1,4
"3080",10.91,"Source Verified",26.98,"0.519","no",36,1,2
"3081",7.97,"Verified",10.82,"0.733","no",36,1,4
"3082",7.96,"Not Verified",20.08,"0.489","no",36,2,1
"3083",7.97,"Not Verified",13.34,"0.192","no",36,2,3
"3084",5.32,"Source Verified",21.35,"0.531","yes",36,1,2
"3085",14.08,"Source Verified",24.53,"0.263","no",60,2,1
"3086",7.97,"Not Verified",27.96,"0.344","no",36,2,2
"3087",21.85,"Verified",35.35,"0.882","no",36,3,1
"3088",13.59,"Source Verified",7.52,"0.112","no",60,1,1
"3089",9.92,"Not Verified",9.59,"0.812","no",60,3,3
"3090",18.45,"Verified",23.35,"0.522","no",60,3,4
"3091",20,"Source Verified",20.16,"0.259","no",60,2,1
"3092",5.32,"Not Verified",9.12,"0.485","yes",36,1,2
"3093",13.59,"Source Verified",3.75,"0.746","no",36,2,0
