interest_rate,income_ver,debt_to_income,credit_util,bankruptcy,term,issue,credit_checks,credit_utilized
10.9,Verified,6.72,0.027937371,0,36,2,2,3185
16.02,Verified,25.65,0.726866863,0,36,2,2,87429
7.97,Verified,23.47,0.107181918,0,36,1,2,61249
6.72,Not Verified,20.22,0.13049844,0,36,1,4,32622
17.09,Verified,23.35,0.398599827,0,36,1,6,69177
12.61,Not Verified,22.44,0.953315858,0,36,3,1,145476
9.44,Verified,26.43,0.378682539,0,36,1,1,100711
13.59,Source Verified,34.09,0.952049412,0,36,2,1,180500
19.03,Source Verified,29.22,0.903836051,0,36,1,0,160007
9.44,Source Verified,25.07,0.139638252,1,36,2,0,29468
9.44,Source Verified,24.91,0.213319194,0,36,1,1,102992
16.02,Source Verified,11.26,0.123521115,0,60,1,1,30914
14.07,Not Verified,32.56,0.381322051,0,36,3,0,142399
6.72,Verified,21.89,0.199461177,0,36,1,3,45310
7.97,Verified,20.4,0.942812711,0,36,1,0,69721
22.91,Verified,11.45,0.830452675,0,60,1,0,10090
17.47,Not Verified,15.61,0.914621918,0,60,3,0,79359
14.08,Verified,16.11,0.533980583,1,36,2,0,5500
18.06,Source Verified,10.94,0.411387882,0,36,2,2,16119
9.93,Not Verified,27.22,0.339163933,0,36,1,0,112694
23.88,Source Verified,16.14,0.612984196,0,60,2,1,39562
13.59,Not Verified,30.88,0.727415135,0,36,2,0,43650
7.96,Source Verified,17.88,0.641998462,0,36,3,3,192041
5.31,Not Verified,2.53,0.037156381,1,36,3,2,21517
6.08,Not Verified,11.18,0.149063901,0,36,1,1,47525
14.08,Source Verified,11.8,0.910652742,0,36,1,0,17439
7.34,Source Verified,20.4,0.471439809,0,36,2,1,28169
18.06,Source Verified,20.23,0.47009434,0,60,1,1,9966
6,Source Verified,22.27,0.482945454,0,36,2,1,95374
13.59,Source Verified,22.77,0.293367127,0,60,2,3,61346
18.06,Source Verified,16.56,0.783342689,0,60,2,10,55821
14.07,Source Verified,22.4,0.901704787,0,36,3,0,46757
13.58,Not Verified,9.62,0.388458079,1,60,3,12,15980
7.35,Not Verified,25.25,0.40813249,0,36,1,0,30854
9.43,Source Verified,26.69,0.623452415,0,36,3,0,41343
21.45,Source Verified,38.09,0.770384827,0,60,2,0,116050
11.99,Not Verified,21.62,0.529593974,0,60,1,0,185333
24.84,Source Verified,17.65,0.550402802,1,60,3,1,15714
6.72,Source Verified,13.62,0.101368225,0,36,1,0,32717
9.44,Not Verified,3.96,0.032247665,0,36,1,3,10703
5.32,Source Verified,13.35,0.348591876,1,36,1,2,86410
9.43,Not Verified,9.75,0.470203839,0,36,3,0,12664
15.05,Source Verified,16.52,0.530832477,0,36,1,5,25825
9.93,Source Verified,5.27,0.459780702,0,36,1,1,10483
30.65,Not Verified,34.39,0.59458498,0,60,3,0,15043
11.98,Source Verified,11.14,0.360864198,1,36,3,0,5846
14.08,Source Verified,20.75,0.628270368,0,36,1,0,34940
19.03,Not Verified,11.14,0.469591042,0,36,2,2,25457
6.72,Not Verified,37.21,0.397052772,0,36,1,1,30878
21.45,Not Verified,10.39,0.331091207,0,60,1,2,28943
10.41,Verified,19.76,0.60850084,1,36,3,2,29334
11.98,Source Verified,3.21,0.035251127,0,36,3,2,6801
12.62,Verified,25.3,0.404990581,0,36,2,0,26228
7.97,Source Verified,23.12,0.600467234,0,36,2,4,25189
10.91,Not Verified,12.98,0.757505648,1,36,1,0,27830
6.72,Source Verified,18.85,0.093895398,1,36,2,2,24802
15.05,Source Verified,13.08,0.132688205,0,36,1,1,25312
19.03,Source Verified,10.13,0.2918,0,36,1,0,2918
13.58,Source Verified,23.81,0.249273785,0,60,3,1,156179
13.58,Not Verified,17.14,0.137758099,0,36,3,0,23925
13.59,Not Verified,19.42,0.11584342,0,60,1,1,66366
9.93,Not Verified,33.36,0.127634755,0,36,2,0,47268
10.91,Source Verified,31.58,0.709364653,0,36,1,5,185540
9.44,Source Verified,14.22,0.547662381,0,60,1,0,27985
7.97,Source Verified,10.59,0.088693681,0,36,1,2,12207
24.85,Verified,26.13,0.504710479,0,60,2,0,44305
6.08,Not Verified,35.13,0.13323162,0,36,2,0,52133
9.44,Source Verified,23.04,0.537534315,0,36,1,0,43078
5.32,Not Verified,16.21,0.065185199,0,36,2,0,20469
15.04,Source Verified,3.64,0.40516129,0,60,2,0,5024
6.72,Source Verified,6.33,0.587848837,0,36,2,0,10111
11.98,Source Verified,17.7,0.800480583,0,36,3,2,20654
19.03,Verified,10.89,0.116468181,0,36,1,5,18161
13.59,Not Verified,24.2,0.720330685,0,36,2,0,96368
10.9,Source Verified,17.98,0.155724245,0,60,3,0,35941
13.58,Source Verified,16.44,0.716001677,0,60,3,4,63185
15.04,Verified,24.76,0.177697405,0,36,3,3,21667
7.34,Source Verified,12.5,0.659540115,0,36,3,1,23692
13.58,Not Verified,21.48,0.582958393,0,36,3,1,62840
21.45,Source Verified,12.67,0.67345614,0,60,1,2,38387
6.07,Source Verified,10.54,0.50368375,0,36,3,2,37396
10.42,Source Verified,14.46,0.649930411,0,36,1,5,18679
6.71,Not Verified,23.48,0.602936051,0,36,3,1,43248
7.34,Source Verified,9.42,0.341923077,0,36,3,1,5334
11.99,Source Verified,19.99,0.801223404,0,60,1,0,45189
6.72,Verified,9.51,0.176405229,0,36,1,0,2699
13.58,Not Verified,17.62,0.14221407,0,36,3,0,32951
17.09,Source Verified,3.45,0.068215217,0,60,2,3,7195
6.07,Source Verified,13.4,0.135978366,0,36,3,0,68535
7.96,Verified,24.6,0.257665238,0,36,3,10,79188
9.92,Not Verified,31.35,0.204737378,0,36,3,1,36173
16.01,Source Verified,25.05,0.225571388,0,36,2,0,56927
11.99,Verified,14.02,0.674563838,0,36,1,1,27220
10.9,Not Verified,9.04,0.356851632,0,36,3,0,70895
12.62,Not Verified,34.43,0.150603868,0,36,2,4,36088
16.02,Source Verified,44.66,0.779670864,0,36,1,1,161034
6.72,Not Verified,14.76,0.075742238,1,36,1,1,24093
14.08,Verified,14.44,0.79568,0,36,1,0,9946
6.07,Not Verified,26.58,0.242008878,0,36,3,1,43504
9.43,Source Verified,17.56,0.147099552,0,36,3,2,34842
9.93,Source Verified,17.93,0.148272176,0,36,1,1,38565
10.42,Not Verified,11.97,0.045619696,0,36,2,2,14138
12.62,Verified,2.59,0.028343126,1,36,2,3,2412
19.03,Verified,34.01,0.342397946,0,36,1,2,22135
10.41,Source Verified,9.03,0.116581543,0,36,3,0,48277
7.97,Source Verified,9.54,0.346522698,0,36,1,1,49647
16.02,Source Verified,19.59,0.51210918,0,36,1,2,116850
11.98,Verified,13.9,0.164837365,0,36,3,2,66681
10.91,Not Verified,35.75,0.624510481,0,36,1,6,54220
14.07,Not Verified,22.95,0.124713858,0,60,2,1,33996
12.62,Verified,5.28,0.802845742,0,60,1,2,45873
11.99,Not Verified,56.17,0.22462086,0,60,1,0,58445
7.96,Not Verified,13.07,0.653442846,0,36,3,0,40256
15.05,Source Verified,18.87,0.469513322,1,36,1,0,17780
12.61,Not Verified,19.85,0.18847271,0,60,3,2,33351
12.61,Not Verified,11.18,0.496358974,0,60,3,2,9679
13.59,Not Verified,13.67,0.678519362,0,36,2,0,29787
11.98,Verified,55.33,0.229283191,0,36,3,2,133557
13.58,Not Verified,3.06,0.839049152,0,36,3,0,20331
15.05,Verified,7.85,0.708782609,0,36,1,3,8151
10.9,Not Verified,21.2,0.09436608,0,60,3,2,27188
6.08,Not Verified,15.19,0.314516129,0,36,2,2,6825
5.32,Source Verified,14.99,0.245883613,0,36,1,0,110685
16.02,Source Verified,11.76,1.026701987,0,36,1,1,38758
9.92,Source Verified,20.28,0.117836398,0,36,2,0,26981
6.72,Not Verified,13.01,0.383459459,0,36,2,0,21282
9.43,Source Verified,12.14,0.135149849,0,36,3,1,30038
19.03,Source Verified,30.46,0.506986554,0,36,2,0,105765
18.45,Source Verified,18.61,0.380643308,0,36,3,3,6627
5.32,Not Verified,15.1,0.260241736,0,36,2,0,23555
15.05,Source Verified,15.23,0.017792561,1,36,1,6,5884
9.44,Not Verified,9.83,0.576289502,1,36,2,0,21865
20.39,Verified,9.92,0.873,0,36,3,1,48888
16.01,Verified,22.12,0.519077491,0,60,3,0,28134
20.39,Not Verified,NA,0.82562367,0,36,3,2,42693
13.59,Source Verified,24.7,0.569731204,1,60,1,4,43875
16.02,Not Verified,17.42,0.271849817,0,60,1,1,101338
17.47,Verified,20.44,0.124789749,0,36,3,0,29157
16.02,Verified,31.72,0.227356267,0,60,2,5,120861
20,Not Verified,8.9,0.677017755,0,36,2,1,19142
10.9,Not Verified,14.48,0.165218102,0,60,3,1,28305
26.77,Verified,26.31,0.468637435,0,60,3,2,110717
9.93,Source Verified,2.91,1.002006421,1,36,2,4,104874
6.08,Source Verified,17.99,0.165768461,0,60,1,4,48538
14.08,Not Verified,29.26,0.164987288,1,60,2,3,38806
13.59,Not Verified,25.1,0.625614703,0,36,1,0,17429
6.08,Source Verified,24.37,0.124222597,0,36,1,1,25327
6.07,Verified,18.36,0.537073583,0,36,3,0,72390
12.62,Not Verified,9.08,0.075798667,0,36,2,1,24595
12.62,Source Verified,15.21,0.411637905,1,60,2,15,67982
11.98,Verified,28.06,0.85961054,0,36,3,1,85992
13.59,Source Verified,17.99,0.120343084,0,36,1,1,23277
23.88,Source Verified,35.57,0.601856909,0,36,1,1,45182
13.59,Not Verified,13.66,0.107742288,0,60,1,1,32501
10.9,Verified,9.32,0.830122449,0,36,3,1,40676
9.93,Verified,6.43,0.424562384,0,36,2,1,22799
6.08,Not Verified,16.04,0.200341599,0,36,2,1,9501
10.41,Source Verified,5.92,0.12486911,1,36,3,1,2385
12.62,Not Verified,17.14,1.043300818,0,36,1,1,57007
13.58,Source Verified,22.47,0.678620172,1,36,3,3,139223
13.58,Source Verified,18.27,0.300939555,0,36,3,1,9609
7.97,Source Verified,13.51,0.744198843,0,36,1,2,198809
10.42,Source Verified,22.26,0.783416377,0,36,2,1,41666
9.43,Not Verified,22.82,0.624649892,0,60,3,3,54640
10.91,Source Verified,14.98,0.161510479,1,36,1,7,48040
19.03,Source Verified,22.34,0.169941675,0,36,1,3,79894
9.44,Not Verified,3.88,0.006626938,1,36,1,2,1618
5.31,Verified,1.27,0.102787356,0,36,2,4,3577
7.35,Source Verified,3.02,0.3598152,0,60,1,4,34969
26.77,Verified,11.61,0.621674683,0,60,3,3,18999
25.82,Source Verified,24.2,0.118924883,0,60,1,1,25331
10.91,Not Verified,9.41,0.827884994,0,36,2,1,56754
18.06,Verified,10.47,0.975,0,36,2,0,17160
14.08,Source Verified,6.93,0.669152871,0,36,1,2,22070
12.61,Not Verified,50.51,0.29639568,0,60,3,0,58542
9.44,Source Verified,21.17,0.143880008,0,60,2,0,31368
21.85,Source Verified,7.13,0.17205298,0,60,3,2,2598
7.96,Source Verified,1,0.357391304,0,36,3,3,822
10.42,Source Verified,6.46,0.867538462,1,36,1,1,11278
16.02,Source Verified,24.19,0.262816735,0,36,2,10,90092
12.61,Verified,36.54,0.286956273,0,36,3,1,60072
13.59,Source Verified,26.16,0.654447085,0,36,1,4,76569
20,Verified,26.73,0.533425656,0,60,1,7,40830
20,Verified,9.41,0.115748155,0,60,1,2,51751
15.04,Source Verified,18.73,0.436674766,0,36,3,1,46367
18.45,Not Verified,35.44,1.119338961,0,60,3,0,325656
16.01,Source Verified,9.09,0.54789195,0,36,3,1,8174
12.61,Not Verified,6.58,0.018615967,0,60,3,1,6481
23.88,Not Verified,26.86,0.676131459,0,60,2,6,43862
15.04,Source Verified,29.28,0.732915361,0,36,2,0,44422
6.72,Source Verified,16.74,0.620338643,1,36,3,3,68071
10.41,Source Verified,21.21,0.230778281,0,36,3,0,105918
14.07,Source Verified,18.94,0.241460696,0,60,3,0,69977
6.07,Not Verified,13.26,0.033583274,0,36,3,0,18408
13.58,Not Verified,8.67,0.493295881,0,60,3,1,41095
5.31,Verified,15.86,0.061200723,0,36,3,0,48926
17.09,Source Verified,10.8,0.303482144,1,60,1,5,23854
10.41,Source Verified,9.36,0.05950073,0,36,3,3,48645
7.34,Source Verified,47.67,0.584497555,0,36,3,0,100661
9.43,Verified,NA,0.23812128,0,36,2,1,70537
17.09,Source Verified,20.46,0.21175512,0,60,2,2,153071
11.99,Source Verified,26.96,0.515908886,0,36,1,6,166085
5.31,Not Verified,9.42,0.431776914,0,36,3,3,69197
14.08,Not Verified,39.39,0.433097756,0,36,1,3,83956
28.72,Verified,25.28,0.277381115,0,60,1,0,54661
5.31,Not Verified,0.83,0.005035765,0,36,3,0,704
13.58,Source Verified,11.97,0.394707207,0,60,2,0,17525
7.96,Source Verified,10.81,0.455792646,0,36,2,0,75616
6.08,Not Verified,19.16,0.301652718,0,36,1,1,42892
10.42,Verified,59.71,0.552447451,0,36,2,0,38057
9.44,Not Verified,20.7,0.626690013,0,60,1,2,109160
10.91,Verified,1.16,0.067655172,0,36,1,0,981
15.04,Not Verified,5.1,0.450389701,1,36,3,0,10286
5.32,Not Verified,10.96,0.072193825,0,36,2,2,29434
9.44,Source Verified,20.16,0.278144098,0,60,1,0,73820
14.07,Not Verified,23.63,0.213042282,0,36,3,1,10843
6.72,Not Verified,16.98,0.385283714,0,36,1,8,89533
15.05,Not Verified,19.09,0.212838994,0,36,2,2,57849
14.08,Source Verified,12.18,0.692661671,0,36,2,2,36878
9.44,Source Verified,22.01,0.128319313,0,36,2,0,24925
20.39,Source Verified,15.9,0.531105134,0,36,3,4,94977
9.44,Source Verified,0.38,0.008407725,0,60,1,3,1959
5.32,Source Verified,14.05,0.105756686,0,36,1,4,27237
6.72,Not Verified,13.89,0.49128201,1,36,2,4,61678
17.47,Verified,23.26,0.246663883,0,60,2,1,104566
10.41,Not Verified,8.56,0.415281495,0,36,3,1,56938
9.43,Source Verified,12.1,0.212948405,1,60,3,3,16117
9.43,Source Verified,17.56,0.05578908,0,36,3,0,10432
10.42,Source Verified,66.59,0.192165527,0,60,1,3,59319
10.9,Source Verified,29.92,0.861323816,0,36,3,2,66365
9.93,Verified,26.16,0.370555081,0,60,2,1,68506
13.59,Not Verified,31.49,0.286965387,0,36,2,2,136508
9.93,Not Verified,20.42,0.244149115,1,36,2,3,114305
10.42,Source Verified,24.28,0.722715045,0,36,2,1,32507
16.01,Source Verified,16.5,0.713175799,0,36,3,3,50945
10.42,Not Verified,20.02,0.525710981,3,60,1,0,20907
7.96,Not Verified,24.04,0.143985847,0,36,3,0,77561
9.44,Not Verified,16.78,0.198223181,0,60,2,6,122516
10.91,Source Verified,16.5,0.629067089,0,60,2,3,52434
6.07,Source Verified,21.68,0.44430692,0,60,3,2,105538
7.35,Source Verified,13.08,0.158511885,0,36,1,4,41947
9.43,Source Verified,10.5,0.47363177,0,60,3,2,19965
9.44,Not Verified,28.52,0.160749435,0,36,2,0,98736
13.59,Source Verified,25.44,0.706535561,0,60,1,0,64453
6.08,Not Verified,9.39,0.458304469,0,36,2,0,19186
5.32,Source Verified,17,0.986142572,0,36,2,4,555502
5.32,Source Verified,19.55,0.208221247,0,36,2,0,46055
16.02,Not Verified,17.53,0.393647395,0,36,2,0,13236
20,Source Verified,26.64,0.176022122,0,36,2,8,58690
9.44,Verified,38.33,0.80151472,0,60,1,0,104031
12.61,Source Verified,13.75,0.261101703,0,60,2,2,20197
30.79,Source Verified,24.64,0.283036032,1,60,1,3,116051
18.45,Verified,27.21,0.30119716,0,60,2,3,104713
14.07,Verified,29.28,0.228729396,0,60,3,1,84271
15.04,Not Verified,8.48,0.865012418,0,60,3,5,38660
9.44,Not Verified,1.48,0.057993005,0,60,1,0,12651
6.07,Source Verified,6.25,0.346258734,0,36,3,0,100941
5.31,Not Verified,15.41,0.322386644,0,36,3,1,135944
9.43,Source Verified,14.59,0.339288768,0,60,3,1,51578
6.72,Source Verified,8.56,0.309327141,0,36,2,1,24379
10.41,Verified,17,0.059879902,0,36,3,4,8506
21.45,Not Verified,12.23,0.326673109,0,60,2,7,24001
9.92,Source Verified,8.35,0.479067358,0,36,3,1,9246
10.9,Source Verified,18.83,0.208349803,1,60,2,6,72213
10.9,Verified,25.99,0.829831087,0,36,3,0,51535
13.59,Not Verified,29.07,0.904103069,0,36,1,0,55087
10.41,Verified,6.13,0.618278416,0,36,3,2,11521
6.71,Not Verified,12.78,0.084363217,0,36,3,1,21926
15.04,Source Verified,7.34,0.374495868,0,60,3,3,22657
18.06,Verified,37.82,0.643088594,0,36,1,3,84943
9.44,Source Verified,20.28,0.213655023,0,36,1,2,62405
7.35,Not Verified,19.03,0.601778029,0,36,2,0,53137
7.97,Source Verified,15.36,0.235435832,1,36,2,5,137891
18.45,Not Verified,16.16,0.798624847,0,60,3,1,16958
15.05,Not Verified,28.49,0.619710754,1,36,2,2,57762
9.44,Not Verified,21.54,0.513440514,0,36,1,0,15968
12.62,Verified,13.71,0.362971244,0,36,2,4,22077
6.07,Source Verified,22.25,0.4717801,0,36,3,0,19326
6.07,Source Verified,26.89,0.205662234,0,36,3,0,32399
7.34,Not Verified,4.51,0.053276353,0,60,3,1,20570
13.58,Verified,35.39,0.344204157,1,36,3,5,83274
6.07,Not Verified,26.97,0.35707972,0,36,3,3,81602
18.45,Verified,25.94,0.180857336,0,60,3,3,46013
9.93,Verified,20.44,0.386120996,1,36,2,3,21700
23.88,Not Verified,144.74,0.835033714,1,60,2,0,28483
10.42,Verified,18.82,0.079406406,0,36,2,4,27022
9.93,Not Verified,23.53,0.608872458,0,60,2,0,32940
13.58,Verified,9.8,1.067916597,0,60,3,1,311963
7.97,Not Verified,24.99,0.675396013,0,36,1,4,96275
9.93,Not Verified,15.84,0.361131644,0,36,1,3,26870
18.06,Not Verified,21.4,0.913068637,0,36,2,1,41026
10.41,Source Verified,34.16,0.779325666,0,36,3,0,63494
11.98,Source Verified,17.8,0.128927083,0,60,3,4,48203
7.97,Verified,27.91,0.359134205,0,36,1,5,29899
6.07,Not Verified,9.52,0.209143469,0,36,3,0,9767
10.42,Not Verified,20.65,0.400480769,0,36,2,0,8330
11.98,Not Verified,27.16,0.636909663,0,60,3,1,26298
13.59,Source Verified,27.95,0.190317095,0,36,1,3,73199
15.05,Not Verified,10.86,0.913600131,0,36,1,5,89055
14.07,Not Verified,11.11,0.210177193,0,36,3,1,20722
10.42,Verified,132.06,0.325404568,0,60,2,2,61370
10.91,Not Verified,13.06,0.756671261,1,36,2,0,33488
6.72,Verified,1.83,0.196887417,0,36,1,0,2973
17.47,Source Verified,20.23,0.454613716,0,60,3,1,49041
7.97,Source Verified,0.86,0.030823529,0,36,2,0,262
7.96,Not Verified,18.99,0.391530125,0,36,3,2,40790
9.44,Source Verified,31.62,0.377525129,0,60,2,0,46123
15.05,Source Verified,6.62,0.828784666,1,60,2,0,67628
13.58,Verified,10.35,0.627788462,0,36,2,0,13058
9.44,Not Verified,19.67,0.078577344,0,36,1,0,33491
30.65,Verified,39.1,0.378608577,0,60,1,5,228881
9.43,Verified,20.41,0.218329975,0,36,3,8,73682
7.35,Source Verified,5.54,0.068455833,0,36,1,0,21309
6.07,Verified,26.82,0.401155919,0,36,2,3,132363
17.09,Not Verified,15.73,0.190023778,0,60,1,0,35722
7.35,Not Verified,8.51,0.383443144,0,36,1,3,49468
10.42,Verified,13.08,0.257244847,0,60,2,1,32285
17.09,Not Verified,17.39,0.8238647,0,60,2,0,70391
21.45,Not Verified,27.48,0.32435465,0,36,2,1,100307
11.99,Not Verified,36.38,0.27875609,0,36,1,5,52349
7.34,Not Verified,25.54,0.613380589,0,36,3,3,46382
13.59,Verified,19.61,0.254012519,0,60,1,0,54743
17.09,Verified,16.87,0.301168385,1,60,1,3,17528
17.09,Verified,3.7,0.504561404,0,60,1,1,2876
18.06,Not Verified,13.72,0.800169248,0,36,1,5,47278
14.08,Not Verified,20.61,0.72580505,0,36,2,0,33403
20.39,Not Verified,NA,0.66462884,0,60,3,1,29788
7.96,Verified,3.56,0.409552846,0,36,3,0,4030
11.99,Source Verified,17.96,0.19415588,0,36,2,1,81282
7.97,Not Verified,16.12,0.632169321,0,36,2,0,15442
12.61,Source Verified,13.08,0.768767123,1,36,3,0,22448
16.01,Source Verified,13.89,0.810452267,0,60,3,2,79725
13.58,Verified,12.96,0.507983132,1,36,3,1,24212
10.41,Source Verified,11.28,0.144823666,1,60,3,1,38474
13.59,Not Verified,21.57,0.565242064,0,36,1,1,15937
18.45,Source Verified,10.73,0.49589175,0,36,2,2,16235
12.62,Source Verified,17.79,0.385943045,0,36,1,0,18269
7.97,Source Verified,17.76,0.414165744,1,36,1,15,31810
21.45,Not Verified,29.76,0.096687944,0,36,1,2,62922
5.32,Not Verified,13.95,0.052061127,0,36,2,3,27254
11.99,Verified,29.2,0.131141877,1,36,2,5,10628
9.44,Source Verified,0.42,0.03630094,1,36,1,1,1158
6.07,Source Verified,6.06,0.071276077,0,36,3,3,16960
11.99,Source Verified,10.72,0.086270501,0,36,1,2,31734
24.85,Not Verified,11.01,0.751534501,1,60,1,6,36487
12.61,Not Verified,10.51,0.1610021,0,60,2,3,37030
9.43,Not Verified,16.14,0.117205009,0,60,3,0,43093
6.71,Source Verified,5.31,0.465801036,0,36,3,1,7103
17.09,Source Verified,16.9,0.715460104,0,36,2,1,41775
10.42,Not Verified,9.46,0.520825703,0,36,1,2,31286
6.72,Not Verified,9.84,0.452363112,0,36,2,0,15697
7.35,Not Verified,22.5,0.556022099,0,36,1,1,50320
14.08,Source Verified,16.42,0.128082359,1,60,2,1,28864
5.32,Source Verified,12.61,0.140239067,0,36,2,0,29354
10.42,Verified,20.48,0.179452604,0,60,1,1,55495
28.72,Source Verified,17.05,0.27608463,0,60,3,6,41535
7.34,Not Verified,24.67,0.305811126,1,36,3,1,38490
5.31,Source Verified,8.4,0.370586854,0,36,3,0,15787
15.04,Source Verified,27.46,0.198020419,1,60,3,1,41333
11.98,Source Verified,14.92,0.114228618,0,36,3,7,65221
10.91,Source Verified,14.19,0.272974009,0,36,2,0,8549
6.08,Not Verified,20.69,0.704564234,1,36,2,0,64803
25.82,Verified,43.44,0.186692935,0,60,1,4,40843
13.59,Verified,11.28,0.595144998,0,36,1,0,10959
16.01,Verified,39.08,0.288109091,1,36,3,1,7923
15.05,Source Verified,11.58,0.185293885,0,36,1,1,68059
25.81,Verified,9.8,0.500600216,1,60,3,4,25438
14.08,Verified,11.84,0.445002091,0,36,2,2,23408
9.43,Not Verified,17.67,0.657384271,0,36,3,1,25519
9.43,Not Verified,20.74,0.177640572,0,36,3,0,34698
9.43,Verified,10.27,0.225316595,0,60,3,4,40833
11.99,Source Verified,21.85,0.689233951,1,60,1,1,39327
10.41,Source Verified,16.9,0.217012972,0,36,2,0,32471
11.99,Source Verified,21.42,0.319054126,1,36,1,2,10740
7.34,Source Verified,30.74,0.386897423,0,36,3,0,260440
16.02,Source Verified,19.23,0.41450536,0,36,1,1,25827
10.91,Source Verified,11.34,0.53152541,0,36,1,4,26597
21.85,Verified,23.14,0.570860902,0,60,3,0,30456
18.45,Source Verified,27.01,0.786359729,0,36,3,3,37507
17.09,Source Verified,10.91,0.225186039,0,60,1,3,72323
9.93,Source Verified,17.81,0.139513081,0,36,2,1,46577
13.59,Source Verified,9.98,0.325313325,0,36,1,0,7761
12.61,Not Verified,14.34,0.468577483,0,36,3,1,8403
18.06,Verified,29.63,0.324240262,0,60,2,3,119050
9.44,Verified,11,0.068931713,0,36,1,1,24048
10.42,Source Verified,18.92,0.070473146,0,36,1,1,36949
16.01,Verified,26.12,0.191705239,0,36,3,1,49824
13.59,Verified,27.94,0.314365898,0,60,2,0,42678
10.42,Source Verified,12.59,0.694639631,0,36,1,1,13840
7.35,Source Verified,29.26,0.226252264,0,36,2,3,111553
15.04,Not Verified,10.2,0.502108818,0,60,3,4,31072
7.97,Not Verified,12.79,0.184093329,1,36,2,3,11409
7.34,Source Verified,24.66,0.298539342,1,36,2,0,67509
23.88,Verified,17.08,0.491494342,0,60,1,0,20369
10.41,Verified,85.01,0.628702455,0,36,3,0,93224
20,Not Verified,30.61,0.258416449,0,36,2,6,121748
10.9,Source Verified,1.07,0.010714286,0,36,3,0,75
13.59,Verified,13.28,0.262842494,0,60,3,4,104784
11.99,Source Verified,12.03,0.367707011,0,60,1,1,22008
16.01,Source Verified,29.36,0.711789314,0,60,3,5,92218
16.01,Not Verified,28.78,0.47810081,0,36,3,8,97403
7.96,Not Verified,19.82,0.625616092,0,36,3,0,46965
5.32,Verified,5.01,0.108715084,0,36,1,0,7784
10.91,Verified,19.81,0.166906158,0,36,2,1,105235
7.35,Not Verified,12.6,0.450856169,0,36,2,3,17720
15.04,Verified,43.62,0.474764738,0,60,3,3,348361
21.85,Source Verified,17.1,0.765773666,0,36,3,2,81208
12.62,Source Verified,24.03,0.366901639,0,36,1,0,44762
7.35,Not Verified,25.13,0.955801511,0,36,1,1,194908
10.41,Verified,26.33,0.67569378,0,36,3,1,14122
10.91,Verified,13.4,0.495411041,0,36,1,6,65530
7.34,Not Verified,19.34,0.380944891,0,36,3,1,31487
19.03,Not Verified,32.08,0.137513501,0,36,2,1,38068
7.97,Source Verified,17.36,0.482017036,1,36,1,1,26201
12.62,Source Verified,23.02,0.028690077,0,60,2,0,23324
13.58,Source Verified,29.66,0.23370608,0,60,3,3,62970
12.62,Source Verified,31.72,0.610762887,0,36,1,0,29622
14.08,Not Verified,43.6,0.465821822,0,36,1,0,36758
13.58,Not Verified,21.56,0.685784645,0,60,3,1,90228
7.97,Source Verified,26.24,0.400596037,0,36,3,1,202033
15.05,Verified,15.14,0.626232695,0,36,2,0,26417
6.72,Verified,7.44,0.062159265,0,36,1,1,12177
5.32,Not Verified,12.98,0.149792257,0,36,1,1,60027
20,Source Verified,15.8,0.812259756,1,36,1,4,31908
5.31,Source Verified,18.46,0.140245297,0,36,3,1,94405
13.58,Source Verified,8.97,0.05569396,0,36,3,1,16476
10.9,Not Verified,11.76,0.42518801,1,36,3,0,20071
6.71,Not Verified,24.53,0.547331932,0,36,3,4,81472
11.99,Not Verified,17.74,0.262910409,0,60,1,0,41207
10.41,Not Verified,9.08,0.802280411,0,36,3,0,44610
9.92,Not Verified,11.7,0.999180419,0,36,3,0,214568
12.61,Source Verified,1.65,0.1525,0,60,3,1,244
11.98,Not Verified,17.1,0.513248789,1,36,3,3,34846
10.42,Not Verified,0.63,0.195454545,0,36,2,0,1075
6.72,Source Verified,21.4,0.240490431,0,36,2,0,115079
15.05,Source Verified,20.86,0.278867982,0,60,1,4,102943
13.58,Not Verified,18.55,0.497059194,0,36,3,0,23663
17.09,Verified,25.07,0.201085276,0,60,1,2,42282
9.92,Verified,30.72,0.798920269,0,36,3,1,69109
10.42,Source Verified,22.52,0.243050046,0,36,2,2,64636
16.01,Verified,20.59,0.582477419,0,36,3,1,22571
5.32,Verified,10,0.137534928,0,36,1,3,78507
20.39,Source Verified,13.91,0.990691719,0,60,3,2,109092
11.99,Not Verified,14,0.25085216,0,36,2,0,23329
6.72,Verified,33.54,0.528220366,0,36,1,5,547708
15.04,Not Verified,15.92,0.259830254,0,36,3,3,19348
9.93,Not Verified,20.23,0.39276493,0,36,1,1,42441
10.91,Not Verified,24.27,0.49800464,1,36,1,2,21464
6,Not Verified,14.18,0.610783133,0,36,3,3,40556
10.42,Source Verified,24.64,0.685486927,1,60,1,4,68742
7.35,Source Verified,26.93,0.4783882,0,36,1,0,22379
9.93,Verified,25.16,0.547536465,0,60,2,0,82246
11.99,Not Verified,11.28,0.210878553,1,36,1,2,8161
7.34,Not Verified,19.98,0.393687778,1,36,3,1,46228
18.45,Source Verified,9.29,0.862920354,0,36,3,0,19502
7.97,Not Verified,17.28,0.292722705,0,36,2,2,234410
28.72,Source Verified,24.22,1.006026393,0,60,2,0,153081
6.08,Source Verified,29.99,0.240696497,0,36,1,2,170966
